category,name,definition
The Environment,Food,"A character needs one pound of food per day and can make food last longer by subsisting on half rations. Eating half a pound of food in a day counts as half a day without food.

A character can go without food for a number of days equal to 3 + his or her Constitution modifier (minimum 1). At the end of each day beyond that limit, a character automatically suffers one level of exhaustion.

A normal day of eating resets the count of days without food to zero."
The Environment,Water,"A character needs one gallon of water per day, or two gallons per day if the weather is hot. A character who drinks only half that much water must succeed on a DC 15 Constitution saving throw or suffer one level of exhaustion at the end of the day. A character with access to even less water automatically suffers one level of exhaustion at the end of the day.

If the character already has one or more levels of exhaustion, the character takes two levels in either case."
Exploration,Resting,"Heroic though they might be, adventurers can’t spend every hour of the day in the thick of exploration, social interaction, and combat. They need rest—time to sleep and eat, tend their wounds, refresh their minds and spirits for spellcasting, and brace themselves for further adventure.

Adventurers can take short rests in the midst of an adventuring day and a long rest to end the day."
Resting,Short Rest,"A short rest is at least 1 hour of light activity like eating and tending wounds. At the end, a character can spend Hit Dice (up to their level) to regain hit points by rolling each die and adding their Constitution modifier. More Hit Dice can be spent after each roll. Some Hit Dice are regained after a long rest."
Resting,Long Rest,"A long rest is at least 8 hours, including at least 6 hours of sleep or complete rest and no more than 2 hours of light activity (e.g., eating, talking, standing watch).

If a character engages in 1+ hour of strenuous activity (e.g., fighting, spellcasting, marching) before completing 6 hours of rest, they must restart the rest.

Strenuous activity after 6 hours doesn’t invalidate the rest, but each hour of strenuous activity adds 1 additional hour to the total rest time required (up to 12 hours total).

At the end of a long rest, the character regains all HP and half their spent Hit Dice (minimum 1). They must have at least 1 HP and can’t benefit from more than one long rest in 24 hours.

A long rest is a period of extended downtime, at least 8 hours long, during which a character sleeps or performs light activity: reading, talking, eating, or standing watch for no more than 2 hours. If the rest is interrupted by a period of strenuous activity—at least 1 hour of walking, fighting, casting spells, or similar adventuring activity—the characters must begin the rest again to gain any benefit from it.

At the end of a long rest, a character regains all lost hit points. The character also regains spent Hit Dice, up to a number of dice equal to half of the character’s total number of them (minimum of one die). For example, if a character has eight Hit Dice, he or she can regain four spent Hit Dice upon finishing a long rest.

A character can’t benefit from more than one long rest in a 24-hour period, and a character must have at least 1 hit point at the start of the rest to gain its benefits."
Adventuring,Combat,"A typical combat encounter is a clash between two sides, a flurry of weapon swings, feints, parries, footwork, and spellcasting. The game organizes the chaos of combat into a cycle of rounds and turns. A **round** represents about 6 seconds in the game world. During a round, each participant in a battle takes a **turn**. The order of turns is determined at the beginning of a combat encounter, when everyone rolls initiative. Once everyone has taken a turn, the fight continues to the next round if neither side has defeated the other."
Combat,Combat Step by Step,"1. **Determine surprise.** The GM determines whether anyone involved in the combat encounter is surprised.
2. **Establish positions.** The GM decides where all the characters and monsters are locate located. Given the adventurers’ marching order or their stated positions in the room or other location, the GM figures out where the adversaries are̶how far away and in what direction.
3. **Roll initiative.** Everyone involved in the combat encounter rolls initiative, determining the order of combatants’ turns.
4. **Take turns.** Each participant in the battle takes a turn in initiative order.
5. **Begin the next round.** When everyone involved in the combat has had a turn, the round ends. Repeat step 4 until the fighting stops."
Combat,Surprise,"A band of adventurers sneaks up on a bandit camp, springing from the trees to attack them. A gelatinous cube glides down a dungeon passage, unnoticed by the adventurers until the cube engulfs one of them. In these situations, one side of the battle gains surprise over the other.

The GM determines who might be surprised. If neither side tries to be stealthy, they automatically notice each other. Otherwise, the GM compares the Dexterity (Stealth) checks of anyone hiding with the passive Wisdom (Perception) score of each creature on the opposing side. Any character or monster that doesn’t notice a threat is surprised at the start of the encounter.

If you’re surprised, you can’t move or take an action on your first turn of the combat, and you can’t take a reaction until that turn ends. A member of a group can be surprised even if the other members aren’t."
Combat,Initiative,"Initiative determines the order of turns during combat. When combat starts, every participant makes a Dexterity check to determine their place in the initiative order. The GM makes one roll for an entire group of identical creatures, so each member of the group acts at the same time.

The GM ranks the combatants in order from the one with the highest Dexterity check total to the one with the lowest. This is the order (called the initiative order) in which they act during each round. The initiative order remains the same from round to round.

If a tie occurs, the GM decides the order among tied GM-controlled creatures, and the players decide the order among their tied characters. The GM can decide the order if the tie is between a monster and a player character. Optionally, the GM can have the tied characters and monsters each roll a d20 to determine the order, highest roll going first."
Combat,Your Turn,"On your turn, you can **move** a distance up to your speed and **take one action**. You decide whether to move first or take your action first. Your speed— sometimes called your walking speed—is noted on your character sheet.

The most common actions you can take are described in the “Actions in Combat” section later in this chapter. Many class features and other abilities provide additional options for your action.

The “Movement and Position” section later in this chapter gives the rules for your move.

You can forgo moving, taking an action, or doing anything at all on your turn. If you can’t decide what to do on your turn, consider taking the Dodge or Ready action, as described in “Actions in Combat.”"
Combat,Bonus Actions,"Various class features, spells, and other abilities let you take an additional action on your turn called a bonus action. The Cunning Action feature, for example, allows a Rogue to take a bonus action. You can take a bonus action only when a special ability, spell, or other feature of the game states that you can do something as a bonus action. You otherwise don’t have a bonus action to take.

You can take only one bonus action on your turn, so you must choose which bonus action to use when you have more than one available.

You choose when to take a bonus action during your turn, unless the bonus action’s timing is specified, and anything that deprives you of your ability to take actions also prevents you from taking a bonus action."
Combat,Other Activity on Your Turn,"Your turn can include a variety of flourishes that require neither your action nor your move.

You can communicate however you are able, through brief utterances and gestures, as you take your turn.

You can also interact with one object or feature of the environment for free, during either your move or your action. For example, you could open a door during your move as you stride toward a foe, or you could draw your weapon as part of the same action you use to attack.

If you want to interact with a second object, you need to use your action. Some magic items and other special objects always require an action to use, as stated in their descriptions.

The GM might require you to use an action for any of these activities when it needs special care or when it presents an unusual obstacle. For instance, the GM could reasonably expect you to use an action to open a stuck door or turn a crank to lower a drawbridge."
Combat,Reactions,"Certain special abilities, spells, and situations allow you to take a special action called a reaction. A reaction is an instant response to a trigger of some kind, which can occur on your turn or on someone else’s. The opportunity attack, described later in this chapter, is the most common type of reaction.

When you take a reaction, you can’t take another one until the start of your next turn. If the reaction interrupts another creature’s turn, that creature can continue its turn right after the reaction."
Combat,Movement and Position,"In combat, characters and monsters are in constant motion, often using movement and position to gain the upper hand.

On your turn, you can move a distance up to your speed. You can use as much or as little of your speed as you like on your turn, following the rules here.

Your movement can include jumping, climbing, and swimming. These different modes of movement can be combined with walking, or they can constitute your entire move. However you’re moving, you deduct the distance of each part of your move from your speed until it is used up or until you are done moving."
Movement and Position,Breaking Up Your Move,"You can break up your movement on your turn, using some of your speed before and after your action. For example, if you have a speed of 30 feet, you can move 10 feet, take your action, and then move 20 feet."
Movement and Position,Moving between Attacks,"If you take an action that includes more than one weapon attack, you can break up your movement even further by moving between those attacks. For example, a Fighter who can make two attacks with the Extra Attack feature and who has a speed of 25 feet could move 10 feet, make an attack, move 15 feet, and then attack again."
Movement and Position,Using Different Speeds,"If you have more than one speed, such as your walking speed and a flying speed, you can switch back and forth between your speeds during your move. Whenever you switch, subtract the distance you’ve already moved from the new speed. The result determines how much farther you can move. If the result is 0 or less, you can’t use the new speed during the current move.

For example, if you have a speed of 30 and a flying speed of 60 because a Wizard cast the Fly spell on you, you could fly 20 feet, then walk 10 feet, and then leap into the air to fly 30 feet more."
Movement and Position,Difficult Terrain,"Combat rarely takes place in bare rooms or on featureless plains. Boulder-strewn caverns, briar* choked forests, treacherous staircases—the setting of a typical fight contains difficult terrain.

Every foot of movement in difficult terrain costs 1 extra foot. This rule is true even if multiple things in a space count as difficult terrain.

Low furniture, rubble, undergrowth, steep stairs, snow, and shallow bogs are examples of difficult terrain. The space of another creature, whether hostile or not, also counts as difficult terrain."
Movement and Position,Being Prone,"Combatants often find themselves lying on the ground, either because they are knocked down or because they throw themselves down. In the game, they are prone, a condition described in appendix A.

You can **drop prone** without using any of your speed. **Standing up** takes more effort; doing so costs an amount of movement equal to half your speed. For example, if your speed is 30 feet, you must spend

15 feet of movement to stand up. You can’t stand up if you don’t have enough movement left or if your speed is 0.

To move while prone, you must **crawl** or use magic such as teleportation. Every foot of movement while crawling costs 1 extra foot. Crawling 1 foot in difficult terrain, therefore, costs 3 feet of movement."
Combat,Interacting with Objects Around You,"Here are a few examples of the sorts of thing you can do in tandem with your movement and action:

    ●  	draw or sheathe a sword

    ●  	open or close a door

    ●  	withdraw a potion from your backpack

    ●  	pick up a dropped axe

    ●  	take a bauble from a table

    ●  	remove a ring from your finger

    ●  	stuff some food into your mouth

    ●  	plant a banner in the ground

    ●  	fish a few coins from your belt pouch

    ●  	throw a lever or a switch

    ●  	pull a torch from a sconce

    ●  	take a book from a shelf you can reach

    ●  	extinguish a small flame

    ●  	don a mask

    ●  	pull the hood of your cloak up and over your head

    ●  	put your ear to a door

    ●  	kick a small stone

    ●  	turn a key in a lock

    ●  	tap the floor with a 10-foot pole

    ●  	hand an item to another character"
